restaurant,rating,review,review_length,biryani_order,Biryani,Ambience,Service,Quality,Buffet,tsne1,tsne2,label
Al Daaz,4.380952380952381,21,377.71428571428567,0.4341000185046936,0.0674835966921912,0.00539128007106894,0.3071360644205054,0.1323685061676915,0.05352053414384944,16.119989999999998,22.855593,3
Al Karim,4.6484375,64,318.78125,0.2404120130087658,0.09935925536362104,0.059388334786600126,0.3581591977188781,0.15036244511644534,0.09231875400568952,1.3410474,6.849251700000001,2
Alibaba Cafe and Restaurant,4.413043478260869,23,292.17391304347825,0.14357545369973654,0.16766776980336284,0.1267205381476745,0.4115183772239017,0.07688563027562345,0.030153969980135805,1.881603,-0.379877,1
Altaf's Chillies Restaurant,4.361111111111111,72,199.9305555555556,0.2548741377577535,0.053231204238260194,0.0740265739171757,0.19584724648014828,0.21516417719386605,0.08185666041279635,20.350714,-5.8958654,1
Amaravati Authentic Andhra Restaurant,4.284090909090909,44,254.97727272727272,0.18522431298106426,0.13304202619019856,0.05343834254765767,0.22275449230032074,0.1623318981743969,0.1977543823518164,27.592913,-1.4291506999999999,1
Ambarsaria,4.35,10,219.6,0.2516156471297937,0.010744113692334077,0.11182707667110076,0.4939786827488774,0.0424092842703314,0.08942519548756267,-18.017612,12.67142,2
Ambika Vegetarian Hotel,4.1,10,230.5,0.11318416143516424,0.1337913998674563,0.09241383906532584,0.3690684750722215,0.09299102934887997,0.1985510952109521,-17.11875,-14.45965,0
Ambur Biriyani Classic,4.595238095238095,42,53.80952380952381,0.1174286257061908,0.0950340608384902,0.1138234024219025,0.12383310820300875,0.35457072390549005,0.02864341225825101,23.025326,-12.1603775,1
Ammi's Biryani,4.285714285714286,21,171.57142857142858,0.1559759700467965,0.2676770128791189,0.15104975503284113,0.03643229384563748,0.2698818651781733,0.07136405539838507,29.344933,-11.954353,1
Amruta,4.0,11,461.27272727272725,0.155173499631172,0.02911675053071688,0.0251355253352856,0.5685934768588893,0.05277367819368595,0.1692070694502503,-30.627259999999996,-2.326454,1
Andhra Amigos,4.6521739130434785,23,96.82608695652172,0.13422920562216065,0.04645366344232516,0.08076461901769827,0.23165698273340465,0.21475923143999945,0.11822325426615088,19.834517,-10.083561,1
Andhra Ruchulu,4.388888888888889,18,922.1111111111113,0.12872642652155736,0.19766953646289184,0.0702621401299583,0.34075993858672177,0.1468792973308076,0.11570266096806316,28.746052000000002,-4.686544400000001,1
Anjappar,4.147058823529412,17,311.70588235294116,0.3502752108797821,0.1208467119394817,0.028394931769901693,0.2706430840515281,0.07625998493165027,0.1535800764276561,14.926355,15.535561999999999,3
Annalakshmi,4.411764705882354,17,429.9411764705882,0.16181542882462216,0.05332485029821156,0.03055864182665695,0.3641836698267849,0.2269642170656128,0.16315319215811164,-6.2458644,-14.408498000000002,0
Anupam's Coast II Coast,4.3125,16,480.9375,0.6547292870553144,0.04216779964832687,0.02195973070815901,0.2121819790639328,0.040497316138341705,0.028463887385925164,23.597769,29.007381,3
Apna Veg Dhaba,4.785714285714286,14,182.78571428571428,0.07706365831185462,0.013868962955065406,0.01819674367440292,0.20902456755848875,0.3707188439219911,0.1682700807210544,9.365179,-20.691157999999998,0
Aramane Restaurant,4.78125,16,207.0625,0.13957201498762958,0.11802969458082492,0.05031188201695888,0.4134234506347767,0.17825495439044414,0.1004080033893657,-4.4470606,-11.545191,1
Athithi,3.8461538461538463,13,353.76923076923083,0.19557682209358013,0.17385466572917238,0.02745710047311092,0.28138218934198,0.10202199653778128,0.21970722582437527,29.410313000000002,-1.7565726000000002,1
